"MonthlyRevenue","IncomeGroup","AgeHH1","fit.cluster"
83.58,6,48,1
74.95,6,80,1
30.26,7,54,2
99.61,7,48,1
25.04,6,42,2
75.67,6,56,1
55.98,9,52,2
7.5,6,38,2
191.66,9,36,3
37.35,9,50,2
64.8,3,58,1
17.14,9,56,2
80.28,6,40,1
100.05,8,46,1
147.46,0,40,3
38.88,7,30,2
43.83,7,48,2
74.52,8,42,1
45.43,3,34,2
203.97,4,34,3
88.24,9,42,1
103.21,5,38,1
61.62,6,28,1
58.12,9,42,2
87.07,5,32,1
30.32,8,54,2
77.5,9,42,1
51.45,7,76,2
93.58,6,50,1
63.3,5,46,1
72.65,3,40,1
42.2,7,34,2
40.52,6,54,2
117.6,9,56,1
56.38,6,26,2
88.24,4,50,1
50,7,46,2
75.92,5,58,1
93.2,5,38,1
79.42,3,56,1
34.31,7,40,2
84.36,8,56,1
108.67,6,38,1
113.37,6,34,1
48.39,7,44,2
58.98,2,46,2
142.77,6,38,1
71.01,6,38,1
78.22,6,36,1
57.01,7,62,2
63.73,6,42,1
49.99,7,52,2
48.33,6,38,2
50,8,38,2
75.09,5,62,1
50.32,2,54,2
95.27,5,42,1
79.84,9,50,1
55.34,9,80,2
349.73,9,52,3
93.06,6,34,1
300.22,6,34,3
163.38,5,46,3
39.99,5,50,2
33.85,5,34,2
93.97,1,46,1
109.49,4,42,1
150.36,7,40,3
102.47,6,34,1
69.32,4,38,1
89.05,7,50,1
276.15,7,34,3
5.04,8,32,2
12.21,7,28,2
53.42,6,58,2
92.3,1,54,1
30.32,6,44,2
51.18,9,38,2
180.81,8,34,3
25.05,5,60,2
25.93,7,74,2
236.02,6,34,3
84.81,8,38,1
110.73,7,52,1
81.37,9,54,1
195.16,9,34,3
101.17,9,56,1
85.53,9,48,1
20.18,4,68,2
88.38,6,32,1
559.79,7,40,3
83.36,3,30,1
30,6,36,2
74.77,9,46,1
96.34,6,34,1
91.36,8,52,1
20.24,5,82,2
64.88,9,38,1
62.12,1,48,1
56.9,4,38,2
23.86,7,30,2
109.33,7,72,1
219.95,9,34,3
35,1,42,2
30,7,54,2
155.38,9,34,3
5,9,44,2
69.01,7,30,1
31.93,4,30,2
131.18,3,26,1
312.26,8,30,3
100.71,5,28,1
29.99,9,46,2
124.09,8,36,1
31.79,5,56,2
68.09,7,40,1
108.84,6,52,1
72.62,9,46,1
103.76,2,34,1
177.81,5,46,3
85.18,9,48,1
255.54,7,40,3
84.35,7,60,1
265.67,0,24,3
41.99,5,46,2
358.85,9,40,3
30.26,6,44,2
64.25,4,48,1
80.94,3,32,1
50.49,6,48,2
33.6,9,54,2
58.74,5,50,2
128.1,8,38,1
7.74,7,42,2
62.95,6,46,1
131.3,9,44,1
38.75,9,42,2
71.64,6,64,1
96.01,6,30,1
82.73,7,30,1
106.57,4,40,1
36.83,1,38,2
55,9,60,2
64.81,3,32,1
95.1,7,48,1
112.34,6,38,1
79.28,6,30,1
30,7,50,2
43.74,6,38,2
174.01,7,48,3
217.64,8,38,3
69.61,7,54,1
62.31,6,28,1
91.15,9,52,1
26.73,7,58,2
36.34,6,62,2
57.59,4,42,2
102.22,7,26,1
37.6,9,48,2
53.24,9,60,2
82.58,7,40,1
117.21,7,40,1
71.62,5,30,1
37.19,7,46,2
75.11,6,58,1
37.61,6,58,2
59.6,9,38,2
156.87,9,46,3
15.56,5,48,2
92,9,40,1
44.2,5,56,2
50.09,1,30,2
118.5,9,48,1
84.05,8,54,1
60.48,9,48,2
89.94,9,56,1
102.47,9,42,1
17.14,5,74,2
28.75,4,58,2
45.85,7,34,2
79.56,6,56,1
77.34,6,32,1
36.97,6,52,2
51.99,9,52,2
65.11,3,46,1
34.26,4,26,2
20.38,5,50,2
52.85,6,34,2
80.39,9,32,1
55.04,6,34,2
81.87,6,36,1
46.54,8,52,2
90.72,6,50,1
40.35,3,66,2
32.36,7,32,2
99.48,5,52,1
32.23,3,54,2
131.07,7,44,1
37.02,6,30,2
73.19,7,38,1
66.29,9,56,1
218.86,3,26,3
60.55,9,46,2
73.47,3,32,1
11.62,9,58,2
46.75,7,30,2
10.56,7,58,2
50.6,7,30,2
30.19,9,46,2
105.57,8,36,1
222.69,4,70,3
83.46,6,38,1
60,9,56,2
208.28,5,30,3
66.39,9,44,1
127.59,6,40,1
31.41,3,44,2
120.42,1,28,1
35.24,6,52,2
39.99,5,32,2
191.79,4,22,3
36.39,7,50,2
80.05,9,44,1
85.17,6,42,1
74.89,7,58,1
150.5,5,44,3
75.67,7,46,1
29.99,9,34,2
31.57,6,56,2
38.13,9,52,2
32.89,4,46,2
132.46,8,32,1
50.07,6,34,2
60.19,2,42,2
82.01,6,46,1
46.85,4,34,2
27.98,9,56,2
178.4,6,26,3
177.48,2,38,3
29.99,6,40,2
31.02,9,62,2
50.99,0,46,2
34.19,7,36,2
73.45,7,34,1
30.86,4,26,2
36.88,9,46,2
26.94,9,52,2
51.22,5,42,2
33.52,2,44,2
10.1,9,50,2
17.14,6,80,2
28.89,8,30,2
31.48,6,46,2
17.62,9,56,2
32.81,7,42,2
30,6,52,2
64.17,8,40,1
29.99,6,52,2
88.5,4,52,1
258.39,7,26,3
30.82,2,40,2
291.26,3,30,3
49.4,8,36,2
68.83,7,42,1
87.73,1,58,1
112.58,6,36,1
63.12,8,58,1
46.25,6,32,2
30,7,42,2
68.42,9,50,1
54.62,5,46,2
39.79,7,52,2
24.99,8,48,2
33.24,7,48,2
53.65,8,28,2
100.67,7,32,1
86.24,6,34,1
65.58,7,22,1
46.99,7,52,2
59.99,9,24,1
43.37,7,50,2
31.2,7,26,2
31.05,4,30,2
45.18,7,46,2
148.33,7,34,3
30.25,5,58,2
30.87,6,44,2
63.77,2,48,1
30.24,6,42,2
84.12,5,68,1
105.36,7,32,1
30,6,78,2
124.2,6,44,1
34.51,6,74,2
30.24,4,36,2
82.74,3,32,1
81.62,6,38,1
20.25,6,62,2
50.65,6,44,2
55.44,6,42,2
75.91,9,42,1
31.01,6,44,2
23.05,5,52,2
95.31,2,28,1
101.3,9,50,1
5,6,60,2
52.32,4,34,2
51.24,9,46,2
35.48,2,26,2
36.29,4,48,2
40.05,5,42,2
96.77,3,58,1
35.09,6,30,2
59.95,9,42,2
38.8,8,46,2
36.89,7,26,2
63.62,6,52,1
90.56,6,52,1
51.59,1,30,2
12.61,9,56,2
30.27,6,32,2
31.45,6,44,2
34.99,4,52,2
53.89,6,52,2
101.65,6,60,1
30.62,4,32,2
103.5,6,62,1
153.27,2,40,3
106.55,8,36,1
62.9,9,58,1
35.51,9,58,2
30.25,6,88,2
57.01,9,60,2
50.24,6,36,2
66.61,7,34,1
94.59,9,38,1
53.73,5,50,2
5,9,30,2
33.98,1,60,2
49.65,6,68,2
35.73,2,38,2
60.51,3,34,1
34.98,5,34,2
93.25,3,26,1
13.9,9,56,2
78.04,4,38,1
291.57,9,50,3
42.45,4,28,2
61.19,7,32,1
38.55,6,36,2
31.24,9,54,2
34.09,9,34,2
32.78,7,54,2
137.31,7,28,1
85.56,2,38,1
35.74,5,46,2
30,6,68,2
33.76,7,56,2
60.59,6,48,2
42.96,6,48,2
51.93,6,54,2
31.75,7,56,2
17.33,6,44,2
161.16,9,42,3
43.49,6,60,2
103.27,7,28,1
44.49,7,32,2
24.57,1,30,2
70.13,3,46,1
43.32,2,54,2
29.99,7,50,2
25.23,9,38,2
39.12,9,30,2
23.23,5,58,2
30.27,8,46,2
49.97,7,42,2
83.86,5,56,1
26.02,6,38,2
43.23,7,50,2
51.99,3,40,2
113.94,9,44,1
30.52,7,22,2
46.2,9,50,2
236.91,8,48,3
31.62,9,48,2
47.96,7,34,2
29.99,1,68,2
75.9,3,46,1
42.87,6,44,2
30.77,9,46,2
45.95,6,48,2
152.72,6,40,3
35.07,6,40,2
28.23,6,44,2
55.26,5,44,2
159.25,9,36,3
41.99,9,44,2
45,5,54,2
34.61,6,46,2
29.99,7,46,2
123.56,9,52,1
61.97,5,42,1
30.16,4,30,2
32.27,9,50,2
59.96,9,40,2
30.27,6,50,2
79.78,3,50,1
36.81,6,48,2
58.22,6,60,2
50.9,6,30,2
48.42,4,42,2
77.87,4,36,1
87.16,6,50,1
10.78,3,52,2
50.45,9,46,2
22.66,5,50,2
64.58,9,50,1
34.99,8,54,2
20.65,4,40,2
19.99,2,54,2
30.26,5,32,2
35.76,4,30,2
19.95,9,52,2
74.97,4,36,1
55.65,9,50,2
42.02,9,46,2
61.74,6,48,1
30.27,8,30,2
64.01,9,44,1
25.09,5,32,2
85.98,9,50,1
16.99,6,42,2
16.95,6,38,2
148.95,8,38,3
30.61,3,38,2
68.24,4,32,1
55.2,7,48,2
20.97,5,56,2
150.78,7,48,3
55.58,9,38,2
65.49,6,44,1
29.99,2,30,2
46.07,6,38,2
96.91,7,34,1
120.22,6,46,1
16.99,9,80,2
35.34,7,38,2
50.44,5,46,2
102.34,9,42,1
88.28,5,30,1
34.99,5,44,2
31.44,6,42,2
109.34,4,42,1
30.26,4,52,2
42.87,4,30,2
32.27,5,84,2
36.67,6,46,2
12.76,7,28,2
30,6,40,2
30.27,6,44,2
21.31,4,56,2
10,9,54,2
5,5,72,2
24.94,6,74,2
59.23,7,50,2
17.14,4,56,2
25.18,7,62,2
52.96,4,32,2
30.44,8,44,2
24.73,3,52,2
36.51,7,30,2
174.35,1,30,3
80.34,3,46,1
82.15,7,32,1
62.22,3,34,1
60.16,3,54,2
21.8,6,42,2
30,9,40,2
45,7,52,2
50.69,7,54,2
87.67,8,42,1
48.93,6,46,2
105.09,9,42,1
31.84,9,30,2
10,7,50,2
50.19,9,34,2
14.06,6,48,2
37.1,8,48,2
32.07,4,58,2
110.78,6,46,1
85.31,5,40,1
55.95,8,44,2
63.84,9,40,1
107.06,8,50,1
37.15,5,26,2
84.77,5,38,1
150.5,7,42,3
135.13,6,30,1
32.21,3,52,2
42.93,8,54,2
30.1,9,64,2
42.23,9,36,2
4.75,6,54,2
161.49,6,38,3
18.41,4,42,2
179.07,9,42,3
40.78,6,36,2
76.67,9,42,1
213.96,4,46,3
85.84,6,40,1
139.58,4,34,1
181.75,4,40,3
29.99,7,52,2
80.39,9,38,1
63.37,5,20,1
17.5,2,54,2
59.77,9,40,2
42.5,5,42,2
39.33,9,42,2
56.48,7,52,2
84.76,5,64,1
75,5,56,1
124.3,6,58,1
10,9,54,2
55.29,8,28,2
31.14,5,32,2
39.99,7,64,2
57.95,3,42,2
50.58,5,52,2
11.24,6,56,2
83.58,9,42,1
50.49,5,52,2
34.99,6,50,2
61.66,5,36,1
25.79,9,44,2
29.99,9,38,2
261.83,5,32,3
56.65,7,28,2
115.22,9,32,1
34.99,5,36,2
95.64,4,22,1
118.15,7,34,1
123.98,6,34,1
37.26,0,24,2
45.42,4,48,2
34.98,3,50,2
43.89,9,56,2
23.93,7,42,2
48.3,7,42,2
30.33,7,54,2
93.64,5,24,1
33.36,6,30,2
24.48,5,62,2
83.44,4,44,1
61.35,7,50,2
63.28,6,32,1
36.32,6,38,2
16.99,6,32,2
30.28,6,36,2
34.99,7,30,2
50.09,5,28,2
39.54,8,28,2
45.7,4,48,2
17.14,4,70,2
69.11,7,52,1
49.33,4,32,2
63.77,5,50,1
172.12,4,48,3
55.03,4,52,2
30,9,48,2
30.04,6,32,2
50.73,4,46,2
46.23,6,42,2
16.99,7,50,2
34.99,7,38,2
45.32,1,28,2
30.24,7,58,2
135.5,5,48,1
16.99,4,44,2
96.12,3,36,1
35.73,5,30,2
144.05,5,20,3
46.18,5,44,2
40.73,6,32,2
5.11,6,70,2
61.9,4,34,1
30.26,9,50,2
38.99,2,68,2
60.94,4,42,2
73.72,9,32,1
151.49,3,58,3
31.84,5,34,2
17.14,4,66,2
45.31,6,46,2
30.26,7,34,2
27.34,4,32,2
30.25,6,24,2
59.91,9,54,2
36.5,6,50,2
24.76,8,32,2
43.38,6,32,2
420.39,7,36,3
33.59,8,42,2
163.44,4,30,3
46.73,9,44,2
60.4,7,28,1
16.99,6,68,2
19.99,9,44,2
34.99,7,58,2
47.08,3,30,2
10.52,6,62,2
111.57,6,44,1
19.99,7,62,2
56.48,6,30,2
54.16,5,50,2
61.04,4,50,2
50.44,9,58,2
237.94,1,64,3
50.27,1,50,2
150.35,4,42,3
48.6,9,38,2
30.48,4,32,2
59.34,6,36,2
36.1,3,46,2
67.76,8,34,1
50.24,9,50,2
35.33,8,60,2
35.23,9,34,2
159.06,0,56,3
31.19,4,72,2
96.23,5,28,1
56.33,1,32,2
81.37,6,50,1
62.84,5,40,1
31.56,9,58,2
67.87,9,48,1
66.34,9,34,1
107.08,7,34,1
127.43,2,34,1
69.61,6,44,1
55.02,3,38,2
50.74,3,36,2
23.3,4,34,2
69.14,3,52,1
59.93,6,52,2
37.35,6,38,2
19.99,7,58,2
33.73,8,40,2
59.37,2,30,2
50.49,8,42,2
55.29,6,34,2
22.7,1,36,2
28.66,9,34,2
63.21,5,30,1
36.69,3,58,2
94.44,5,58,1
30.45,9,62,2
63.46,5,54,1
45.88,3,72,2
63.19,7,34,1
9.5,4,34,2
76.78,8,42,1
56.65,9,42,2
54.74,6,44,2
16.99,1,54,2
58.48,4,32,2
90.72,8,30,1
42.01,7,54,2
38.7,6,38,2
50.09,7,70,2
76.3,7,38,1
30.25,6,42,2
87.4,6,46,1
39.11,4,66,2
99.56,0,32,1
9.93,6,44,2
106.77,8,56,1
55.64,6,38,2
16.99,9,52,2
35.17,8,40,2
150.79,7,26,3
26.24,6,32,2
71.78,8,60,1
29.99,7,48,2
43.65,4,26,2
74.41,3,38,1
64.75,9,54,1
30,6,32,2
16.12,8,54,2
32.64,3,38,2
70.99,5,48,1
43.87,0,34,2
60.67,2,28,1
69.98,6,30,1
71.83,9,52,1
36.31,8,44,2
50.79,3,58,2
35.3,6,58,2
124.08,5,52,1
51.97,5,54,2
77.86,5,40,1
53.4,9,38,2
71.77,9,48,1
40.2,0,30,2
540.99,4,28,3
31.15,8,34,2
62.38,9,38,1
37.79,1,36,2
61.31,7,32,1
108.24,2,38,1
53.76,7,52,2
128.64,7,40,1
51.09,6,28,2
49.99,6,34,2
53.45,9,64,2
98.71,7,52,1
40.09,6,36,2
111.31,2,70,1
47,3,32,2
60.3,6,52,2
31.31,7,28,2
96.5,6,50,1
35.74,4,28,2
33.97,1,50,2
30.34,5,36,2
57.83,9,48,2
52.94,5,38,2
165.18,4,44,3
59.19,0,52,2
38.66,3,56,2
34.44,6,42,2
77.67,3,46,1
60.11,2,48,2
55.02,5,34,2
142.38,7,48,1
41.69,6,38,2
76,8,68,1
51.91,6,22,2
34.54,7,54,2
29.19,7,54,2
32.98,6,46,2
39.99,6,38,2
34.99,4,60,2
22.46,7,42,2
110.11,6,56,1
41.79,5,24,2
114.33,6,60,1
40.07,5,24,2
83.19,5,44,1
68.81,5,30,1
48.03,5,26,2
45.77,7,30,2
122.59,7,36,1
34.99,6,28,2
19.64,9,44,2
10.53,5,28,2
29.29,9,44,2
166.76,3,26,3
41.66,6,48,2
62.57,9,48,1
68.09,2,58,1
88.87,9,32,1
51.99,4,60,2
17.99,5,46,2
52.66,6,22,2
111.44,6,40,1
34.76,3,76,2
78.23,8,34,1
32.12,6,54,2
117.61,4,82,1
22.76,6,50,2
16.99,3,80,2
29.99,9,50,2
55,7,44,2
68.88,3,38,1
35.24,8,34,2
16.99,8,56,2
25.49,7,40,2
39.32,3,50,2
20.75,5,34,2
21.36,9,46,2
35.24,6,46,2
36.17,5,58,2
102.35,6,54,1
56.27,9,64,2
118.74,4,48,1
171.33,0,32,3
52.37,9,26,2
260.55,6,24,3
56.22,6,54,2
33.25,6,28,2
36.6,9,32,2
97.66,7,54,1
58.4,4,60,2
16.99,5,32,2
172.74,9,44,3
31.52,4,40,2
51.02,4,40,2
16.99,6,72,2
130.91,4,62,1
162.56,7,30,3
17.14,7,30,2
33.48,9,50,2
50.8,4,62,2
77.67,7,30,1
44.25,4,58,2
16.99,9,28,2
16.68,6,40,2
71.47,6,34,1
51.69,5,54,2
42.73,6,26,2
16.99,7,30,2
90.08,9,40,1
48.76,4,60,2
50.48,3,44,2
70.24,9,48,1
48.17,5,78,2
51.78,4,36,2
34.98,5,28,2
20.17,5,34,2
286.19,6,34,3
36.07,8,52,2
29.99,6,72,2
45.46,7,54,2
479.09,7,40,3
34.99,6,74,2
76.81,9,52,1
152.76,3,30,3
32.84,5,50,2
33.34,6,38,2
30.26,8,26,2
55.73,2,30,2
86.33,5,42,1
33.23,9,58,2
30,6,46,2
16.99,4,52,2
32.23,1,22,2
54.33,6,26,2
31.65,5,58,2
37.74,8,32,2
35.34,9,44,2
15.41,6,50,2
35.3,6,28,2
68.08,3,52,1
39.14,5,44,2
5,7,84,2
42.89,7,28,2
138.7,5,36,1
39.71,9,38,2
37.95,7,52,2
29.99,7,60,2
5,5,36,2
46.29,2,38,2
58.69,4,32,2
58.09,8,44,2
76.62,9,46,1
60.37,7,26,1
21.75,3,50,2
85.25,3,36,1
56.59,6,32,2
10.09,9,32,2
42.42,6,58,2
33.27,9,48,2
41.44,9,48,2
28.63,9,34,2
122.94,7,50,1
90.74,7,50,1
40.2,6,40,2
178.2,7,46,3
48.18,5,52,2
63.34,4,34,1
77.58,9,50,1
16.14,9,58,2
105.12,5,52,1
32.85,3,48,2
297.91,9,44,3
116.95,6,54,1
387.76,7,22,3
80.64,7,48,1
30.21,6,56,2
13.69,7,40,2
30.91,5,58,2
30.26,5,64,2
54.84,5,34,2
56.34,6,26,2
12.79,9,38,2
38.95,7,36,2
51.79,6,36,2
43.48,7,58,2
38.48,2,56,2
34.98,7,24,2
52.85,8,30,2
158.81,6,22,3
32.45,6,34,2
118.99,7,40,1
160.41,6,32,3
23.12,7,54,2
98.96,3,38,1
50,9,28,2
103.89,5,52,1
48.18,9,46,2
57.3,6,46,2
12.3,3,44,2
34.97,0,46,2
34.4,6,36,2
30.95,3,34,2
99.56,6,56,1
31.87,5,60,2
65.95,3,36,1
33.25,8,30,2
20.14,4,48,2
35.24,5,40,2
49.6,4,36,2
39.77,5,34,2
41.11,6,32,2
39.76,9,46,2
136.14,9,44,1
39.02,8,52,2
49.87,9,50,2
57.64,7,34,2
163.46,6,50,3
48.24,7,50,2
117.16,9,56,1
59.83,6,48,2
30.98,6,36,2
30.27,4,42,2
65.72,7,38,1
33.15,7,50,2
58.74,5,56,2
37.18,5,30,2
165.04,6,56,3
71.84,4,30,1
68.96,6,56,1
31.83,7,28,2
30,4,54,2
44.16,9,26,2
81.49,7,46,1
86.75,1,44,1
70.23,7,46,1
36.84,0,52,2
32.57,7,52,2
37.86,3,52,2
57.68,6,54,2
65.77,3,26,1
41.42,7,46,2
50,4,30,2
65.67,9,56,1
45.76,6,36,2
30.26,7,50,2
132.51,5,82,1
86.29,7,32,1
29.99,6,44,2
96.17,1,30,1
47.29,1,58,2
222.16,6,36,3
56.74,4,46,2
67.81,4,40,1
31.59,9,46,2
78.93,6,34,1
86.74,9,78,1
54.12,9,56,2
46.3,4,30,2
32.49,8,50,2
33.25,7,30,2
61.18,1,32,1
30.24,9,48,2
30.03,6,42,2
34.76,6,48,2
78.07,7,52,1
55.44,1,30,2
91.23,7,32,1
116.04,6,62,1
43.63,4,40,2
33.25,8,46,2
32.08,3,46,2
43.94,3,34,2
33.24,6,54,2
118.66,5,24,1
30.26,9,56,2
33,2,34,2
31.7,6,30,2
33.24,7,46,2
30.26,7,50,2
52.9,7,50,2
104.65,6,36,1
21.98,9,50,2
34.99,4,38,2
72.09,9,36,1
29.99,7,36,2
85.58,8,36,1
83.58,7,28,1
24.49,7,56,2
70.86,7,58,1
42.21,0,44,2
93.69,5,42,1
110.06,6,44,1
42.71,4,52,2
31.86,4,54,2
30.26,6,38,2
89.23,6,34,1
54.69,7,60,2
36.44,5,48,2
229.96,5,32,3
30,2,38,2
29.99,1,56,2
14.42,2,38,2
56.35,8,26,2
145.67,6,42,3
35.9,4,28,2
30,6,44,2
122.59,3,28,1
30.64,1,42,2
30.21,4,32,2
39.99,3,22,2
56.9,7,70,2
33.2,8,52,2
60.27,6,50,2
28.64,8,52,2
59.54,7,50,2
54.66,8,44,2
30.26,9,56,2
21.38,9,64,2
76.42,6,26,1
145.29,5,54,3
47.91,6,34,2
32.29,2,48,2
32.38,9,32,2
58.2,1,34,2
310.51,7,44,3
57.16,9,42,2
37.47,5,50,2
31.29,9,42,2
36.44,5,40,2
58.56,4,56,2
62.59,7,48,1
201.02,8,26,3
31.01,6,26,2
53.25,6,52,2
173.2,6,40,3
37.88,6,36,2
55.82,9,46,2
56.4,4,50,2
28.68,4,26,2
18.74,6,36,2
39.05,5,32,2
63.24,6,46,1
33.76,3,44,2
195.57,2,42,3
62.6,9,26,1
30.25,4,54,2
30.03,7,54,2
10,6,50,2
29.99,9,54,2
30.55,4,56,2
112.78,6,36,1
66,3,34,1
83.5,7,38,1
30.59,9,40,2
119.29,3,42,1
62.99,8,54,1
34.04,5,60,2
55.92,6,44,2
40.18,2,38,2
86.8,4,36,1
10.5,7,50,2
23.1,8,54,2
16.99,6,58,2
90.18,2,36,1
99.82,5,44,1
66.03,9,44,1
102.43,9,62,1
44.05,5,48,2
53.71,1,48,2
30.54,9,52,2
145.25,6,36,3
30.04,5,44,2
50.49,6,50,2
82.72,7,54,1
113.49,9,32,1
5,6,42,2
141.21,3,44,1
29.99,8,58,2
33.24,6,50,2
42.74,1,50,2
33.99,7,44,2
51.35,8,38,2
117.72,9,36,1
193.11,6,26,3
31.45,1,24,2
32.02,4,32,2
97.11,9,54,1
44.64,4,44,2
21.98,6,38,2
49.99,9,40,2
36.57,2,34,2
33.05,9,54,2
32.98,5,48,2
52.85,9,50,2
95.11,9,40,1
25.2,9,42,2
40.8,9,54,2
30.48,3,42,2
33.91,9,48,2
30.48,9,42,2
60.05,4,38,2
20.45,7,42,2
70.62,5,48,1
142.11,2,48,1
75.61,6,30,1
83.7,4,36,1
27.45,9,46,2
86.16,4,30,1
89.92,5,32,1
31.24,7,52,2
133.65,4,42,1
22.05,9,58,2
119.23,9,42,1
50.98,4,36,2
33.77,6,76,2
44.28,0,36,2
164.56,6,38,3
50.73,4,28,2
30.43,5,44,2
72.5,9,54,1
78.35,5,32,1
26.16,2,40,2
142.63,8,60,1
48.89,8,52,2
39.52,9,30,2
25.23,4,48,2
30.96,6,48,2
30.39,0,30,2
58.19,5,48,2
68.92,6,50,1
35.19,8,34,2
50.55,1,24,2
42.74,6,46,2
56.41,4,32,2
41.43,1,70,2
34.9,6,46,2
58.67,8,38,2
30.37,4,46,2
31.29,6,44,2
57.54,7,64,2
50,9,60,2
57.13,9,26,2
88.72,7,32,1
19.14,6,30,2
43.77,5,46,2
50.67,6,38,2
58.53,2,56,2
17.14,6,38,2
95.92,5,44,1
30.77,6,44,2
130.14,8,42,1
17.14,5,50,2
43.07,9,44,2
31.27,7,50,2
50.52,6,40,2
31.86,7,46,2
76.37,6,34,1
50.69,9,32,2
19.71,8,26,2
60.32,9,56,2
34.3,5,48,2
29.27,7,50,2
94.58,9,46,1
60.24,9,44,2
48.03,9,58,2
17.36,9,60,2
99.19,2,26,1
17.11,9,44,2
41.35,3,38,2
75.07,5,36,1
10.7,5,60,2
32.84,5,36,2
16.99,7,66,2
21.95,6,38,2
20.88,3,44,2
30.32,4,42,2
30.26,5,48,2
47.97,6,64,2
35.99,6,56,2
30.07,6,24,2
74.4,3,32,1
31.27,9,28,2
32.94,9,42,2
18.57,1,40,2
36.17,3,22,2
30.82,9,36,2
10.2,6,24,2
37.9,6,52,2
22.83,6,30,2
71.42,5,42,1
18.11,9,46,2
75.98,6,50,1
10.34,9,58,2
52.59,5,32,2
20.75,6,36,2
77.54,5,36,1
25.36,8,46,2
36.33,6,62,2
127.54,7,26,1
50.27,1,38,2
35.73,5,58,2
21.83,9,42,2
16.61,9,30,2
12.74,9,50,2
84.99,9,54,1
121.15,8,40,1
17.14,7,60,2
96.6,4,28,1
91.47,9,44,1
21.61,7,48,2
16.99,5,50,2
25.48,9,46,2
40.04,9,40,2
30.87,9,44,2
34.01,9,50,2
