MonthlyRevenue,IncomeGroup,AgeHH1
120.42,1,28
35.24,6,52
39.99,5,32
191.79,4,22
36.39,7,50
80.05,9,44
85.17,6,42
74.89,7,58
150.5,5,44
75.67,7,46
29.99,9,34
31.57,6,56
38.13,9,52
32.89,4,46
132.46,8,32
50.07,6,34
60.19,2,42
82.01,6,46
46.85,4,34
27.98,9,56
178.4,6,26
177.48,2,38
29.99,6,40
31.02,9,62
50.99,0,46
34.19,7,36
73.45,7,34
30.86,4,26
36.88,9,46
26.94,9,52
51.22,5,42
33.52,2,44
10.1,9,50
17.14,6,80
28.89,8,30
31.48,6,46
17.62,9,56
32.81,7,42
30,6,52
64.17,8,40
29.99,6,52
88.5,4,52
258.39,7,26
30.82,2,40
291.26,3,30
49.4,8,36
68.83,7,42
87.73,1,58
112.58,6,36
63.12,8,58
46.25,6,32
30,7,42
68.42,9,50
54.62,5,46
39.79,7,52
24.99,8,48
33.24,7,48
53.65,8,28
100.67,7,32
86.24,6,34
65.58,7,22
46.99,7,52
59.99,9,24
43.37,7,50
31.2,7,26
31.05,4,30
45.18,7,46
148.33,7,34
30.25,5,58
30.87,6,44
63.77,2,48
30.24,6,42
84.12,5,68
105.36,7,32
30,6,78
124.2,6,44
34.51,6,74
30.24,4,36
82.74,3,32
81.62,6,38
20.25,6,62
50.65,6,44
55.44,6,42
75.91,9,42
31.01,6,44
23.05,5,52
95.31,2,28
101.3,9,50
5,6,60
52.32,4,34
51.24,9,46
35.48,2,26
36.29,4,48
40.05,5,42
96.77,3,58
35.09,6,30
59.95,9,42
38.8,8,46
36.89,7,26
63.62,6,52
90.56,6,52
51.59,1,30
12.61,9,56
30.27,6,32
31.45,6,44
34.99,4,52
53.89,6,52
101.65,6,60
30.62,4,32
103.5,6,62
153.27,2,40
106.55,8,36
62.9,9,58
35.51,9,58
30.25,6,88
57.01,9,60
50.24,6,36
66.61,7,34
94.59,9,38
53.73,5,50
5,9,30
33.98,1,60
49.65,6,68
35.73,2,38
60.51,3,34
34.98,5,34
93.25,3,26
13.9,9,56
78.04,4,38
291.57,9,50
42.45,4,28
61.19,7,32
38.55,6,36
31.24,9,54
34.09,9,34
32.78,7,54
137.31,7,28
85.56,2,38
35.74,5,46
30,6,68
33.76,7,56
60.59,6,48
42.96,6,48
51.93,6,54
31.75,7,56
17.33,6,44
161.16,9,42
43.49,6,60
103.27,7,28
44.49,7,32
24.57,1,30
70.13,3,46
43.32,2,54
29.99,7,50
25.23,9,38
39.12,9,30
23.23,5,58
30.27,8,46
49.97,7,42
83.86,5,56
26.02,6,38
43.23,7,50
51.99,3,40
113.94,9,44
30.52,7,22
46.2,9,50
236.91,8,48
31.62,9,48
47.96,7,34
29.99,1,68
75.9,3,46
42.87,6,44
30.77,9,46
45.95,6,48
152.72,6,40
35.07,6,40
28.23,6,44
55.26,5,44
159.25,9,36
41.99,9,44
45,5,54
34.61,6,46
29.99,7,46
123.56,9,52
61.97,5,42
30.16,4,30
32.27,9,50
59.96,9,40
30.27,6,50
79.78,3,50
36.81,6,48
58.22,6,60
50.9,6,30
48.42,4,42
77.87,4,36
87.16,6,50
10.78,3,52
50.45,9,46
22.66,5,50
64.58,9,50
34.99,8,54
20.65,4,40
19.99,2,54
30.26,5,32
35.76,4,30
19.95,9,52
74.97,4,36
55.65,9,50
42.02,9,46
61.74,6,48
30.27,8,30
64.01,9,44
25.09,5,32
85.98,9,50
16.99,6,42
16.95,6,38
148.95,8,38
30.61,3,38
68.24,4,32
55.2,7,48
20.97,5,56
150.78,7,48
55.58,9,38
65.49,6,44
29.99,2,30
46.07,6,38
96.91,7,34
120.22,6,46
16.99,9,80
35.34,7,38
50.44,5,46
102.34,9,42
88.28,5,30
34.99,5,44
31.44,6,42
109.34,4,42
30.26,4,52
42.87,4,30
32.27,5,84
36.67,6,46
12.76,7,28
30,6,40
30.27,6,44
21.31,4,56
10,9,54
5,5,72
24.94,6,74
59.23,7,50
17.14,4,56
25.18,7,62
52.96,4,32
30.44,8,44
24.73,3,52
36.51,7,30
174.35,1,30
80.34,3,46
82.15,7,32
62.22,3,34
60.16,3,54
21.8,6,42
30,9,40
45,7,52
50.69,7,54
87.67,8,42
48.93,6,46
105.09,9,42
31.84,9,30
10,7,50
50.19,9,34
14.06,6,48
37.1,8,48
32.07,4,58
110.78,6,46
85.31,5,40
55.95,8,44
63.84,9,40
107.06,8,50
37.15,5,26
84.77,5,38
150.5,7,42
135.13,6,30
32.21,3,52
42.93,8,54
30.1,9,64
42.23,9,36
4.75,6,54
161.49,6,38
18.41,4,42
179.07,9,42
40.78,6,36
76.67,9,42
213.96,4,46
85.84,6,40
139.58,4,34
181.75,4,40
29.99,7,52
80.39,9,38
63.37,5,20
17.5,2,54
59.77,9,40
42.5,5,42
39.33,9,42
56.48,7,52
84.76,5,64
75,5,56
124.3,6,58
10,9,54
55.29,8,28
31.14,5,32
39.99,7,64
57.95,3,42
50.58,5,52
11.24,6,56
83.58,9,42
50.49,5,52
34.99,6,50
61.66,5,36
25.79,9,44
29.99,9,38
261.83,5,32
56.65,7,28
115.22,9,32
34.99,5,36
95.64,4,22
118.15,7,34
123.98,6,34
37.26,0,24
45.42,4,48
34.98,3,50
43.89,9,56
23.93,7,42
48.3,7,42
30.33,7,54
93.64,5,24
33.36,6,30
24.48,5,62
83.44,4,44
61.35,7,50
63.28,6,32
36.32,6,38
16.99,6,32
30.28,6,36
34.99,7,30
50.09,5,28
39.54,8,28
45.7,4,48
17.14,4,70
69.11,7,52
49.33,4,32
63.77,5,50
172.12,4,48
55.03,4,52
30,9,48
30.04,6,32
50.73,4,46
46.23,6,42
16.99,7,50
34.99,7,38
45.32,1,28
30.24,7,58
135.5,5,48
16.99,4,44
96.12,3,36
35.73,5,30
144.05,5,20
46.18,5,44
40.73,6,32
5.11,6,70
61.9,4,34
30.26,9,50
38.99,2,68
60.94,4,42
73.72,9,32
151.49,3,58
31.84,5,34
17.14,4,66
45.31,6,46
30.26,7,34
27.34,4,32
30.25,6,24
59.91,9,54
36.5,6,50
24.76,8,32
43.38,6,32
420.39,7,36
33.59,8,42
163.44,4,30
46.73,9,44
60.4,7,28
16.99,6,68
19.99,9,44
34.99,7,58
47.08,3,30
10.52,6,62
111.57,6,44
19.99,7,62
56.48,6,30
54.16,5,50
61.04,4,50
50.44,9,58
237.94,1,64
50.27,1,50
150.35,4,42
48.6,9,38
30.48,4,32
59.34,6,36
36.1,3,46
67.76,8,34
50.24,9,50
35.33,8,60
35.23,9,34
159.06,0,56
31.19,4,72
96.23,5,28
56.33,1,32
81.37,6,50
62.84,5,40
31.56,9,58
67.87,9,48
66.34,9,34
107.08,7,34
127.43,2,34
69.61,6,44
55.02,3,38
50.74,3,36
23.3,4,34
69.14,3,52
59.93,6,52
37.35,6,38
19.99,7,58
33.73,8,40
59.37,2,30
50.49,8,42
55.29,6,34
22.7,1,36
28.66,9,34
63.21,5,30
36.69,3,58
94.44,5,58
30.45,9,62
63.46,5,54
45.88,3,72
63.19,7,34
9.5,4,34
76.78,8,42
56.65,9,42
54.74,6,44
16.99,1,54
58.48,4,32
90.72,8,30
42.01,7,54
38.7,6,38
50.09,7,70
76.3,7,38
30.25,6,42
87.4,6,46
39.11,4,66
99.56,0,32
9.93,6,44
106.77,8,56
55.64,6,38
16.99,9,52
35.17,8,40
150.79,7,26
26.24,6,32
71.78,8,60
29.99,7,48
43.65,4,26
74.41,3,38
64.75,9,54
30,6,32
16.12,8,54
32.64,3,38
70.99,5,48
43.87,0,34
60.67,2,28
69.98,6,30
71.83,9,52
36.31,8,44
50.79,3,58
35.3,6,58
124.08,5,52
51.97,5,54
77.86,5,40
53.4,9,38
71.77,9,48
40.2,0,30
540.99,4,28
31.15,8,34
62.38,9,38
37.79,1,36
61.31,7,32
108.24,2,38
53.76,7,52
128.64,7,40
51.09,6,28
49.99,6,34
53.45,9,64
98.71,7,52
40.09,6,36
111.31,2,70
47,3,32
60.3,6,52
31.31,7,28
96.5,6,50
35.74,4,28
33.97,1,50
30.34,5,36
57.83,9,48
52.94,5,38
165.18,4,44
59.19,0,52
38.66,3,56
34.44,6,42
77.67,3,46
60.11,2,48
55.02,5,34
142.38,7,48
41.69,6,38
76,8,68
51.91,6,22
34.54,7,54
29.19,7,54
32.98,6,46
39.99,6,38
34.99,4,60
22.46,7,42
110.11,6,56
41.79,5,24
114.33,6,60
40.07,5,24
83.19,5,44
68.81,5,30
48.03,5,26
45.77,7,30
122.59,7,36
34.99,6,28
19.64,9,44
10.53,5,28
29.29,9,44
166.76,3,26
41.66,6,48
62.57,9,48
68.09,2,58
88.87,9,32
51.99,4,60
17.99,5,46
52.66,6,22
111.44,6,40
34.76,3,76
78.23,8,34
32.12,6,54
117.61,4,82
22.76,6,50
16.99,3,80
29.99,9,50
55,7,44
68.88,3,38
35.24,8,34
16.99,8,56
25.49,7,40
39.32,3,50
20.75,5,34
21.36,9,46
35.24,6,46
36.17,5,58
102.35,6,54
56.27,9,64
118.74,4,48
171.33,0,32
52.37,9,26
260.55,6,24
56.22,6,54
33.25,6,28
36.6,9,32
97.66,7,54
58.4,4,60
16.99,5,32
172.74,9,44
31.52,4,40
51.02,4,40
16.99,6,72
130.91,4,62
162.56,7,30
17.14,7,30
33.48,9,50
50.8,4,62
77.67,7,30
44.25,4,58
16.99,9,28
16.68,6,40
71.47,6,34
51.69,5,54
42.73,6,26
16.99,7,30
90.08,9,40
48.76,4,60
50.48,3,44
70.24,9,48
48.17,5,78
51.78,4,36
34.98,5,28
20.17,5,34
286.19,6,34
36.07,8,52
29.99,6,72
45.46,7,54
479.09,7,40
34.99,6,74
76.81,9,52
152.76,3,30
32.84,5,50
33.34,6,38
30.26,8,26
55.73,2,30
86.33,5,42
33.23,9,58
30,6,46
16.99,4,52
32.23,1,22
54.33,6,26
31.65,5,58
37.74,8,32
35.34,9,44
15.41,6,50
35.3,6,28
68.08,3,52
39.14,5,44
5,7,84
42.89,7,28
138.7,5,36
39.71,9,38
37.95,7,52
29.99,7,60
5,5,36
46.29,2,38
58.69,4,32
58.09,8,44
76.62,9,46
60.37,7,26
21.75,3,50
85.25,3,36
56.59,6,32
10.09,9,32
42.42,6,58
33.27,9,48
41.44,9,48
28.63,9,34
122.94,7,50
90.74,7,50
40.2,6,40
178.2,7,46
48.18,5,52
63.34,4,34
77.58,9,50
16.14,9,58
105.12,5,52
32.85,3,48
297.91,9,44
116.95,6,54
387.76,7,22
80.64,7,48
30.21,6,56
13.69,7,40
30.91,5,58
30.26,5,64
54.84,5,34
56.34,6,26
12.79,9,38
38.95,7,36
51.79,6,36
43.48,7,58
38.48,2,56
34.98,7,24
52.85,8,30
158.81,6,22
32.45,6,34
118.99,7,40
160.41,6,32
23.12,7,54
98.96,3,38
50,9,28
103.89,5,52
48.18,9,46
57.3,6,46
12.3,3,44
34.97,0,46
34.4,6,36
30.95,3,34
99.56,6,56
31.87,5,60
65.95,3,36
33.25,8,30
20.14,4,48
35.24,5,40
49.6,4,36
39.77,5,34
41.11,6,32
39.76,9,46
136.14,9,44
39.02,8,52
49.87,9,50
57.64,7,34
163.46,6,50
48.24,7,50
117.16,9,56
59.83,6,48
30.98,6,36
30.27,4,42
65.72,7,38
33.15,7,50
58.74,5,56
37.18,5,30
165.04,6,56
71.84,4,30
68.96,6,56
31.83,7,28
30,4,54
44.16,9,26
81.49,7,46
86.75,1,44
70.23,7,46
36.84,0,52
32.57,7,52
37.86,3,52
57.68,6,54
65.77,3,26
41.42,7,46
50,4,30
65.67,9,56
45.76,6,36
30.26,7,50
132.51,5,82
86.29,7,32
29.99,6,44
96.17,1,30
47.29,1,58
222.16,6,36
56.74,4,46
67.81,4,40
31.59,9,46
78.93,6,34
86.74,9,78
54.12,9,56
46.3,4,30
32.49,8,50
33.25,7,30
61.18,1,32
30.24,9,48
30.03,6,42
34.76,6,48
78.07,7,52
55.44,1,30
91.23,7,32
116.04,6,62
43.63,4,40
33.25,8,46
32.08,3,46
43.94,3,34
33.24,6,54
118.66,5,24
30.26,9,56
33,2,34
31.7,6,30
33.24,7,46
30.26,7,50
52.9,7,50
104.65,6,36
21.98,9,50
34.99,4,38
72.09,9,36
29.99,7,36
85.58,8,36
83.58,7,28
24.49,7,56
70.86,7,58
42.21,0,44
93.69,5,42
110.06,6,44
42.71,4,52
31.86,4,54
30.26,6,38
89.23,6,34
54.69,7,60
36.44,5,48
229.96,5,32
30,2,38
29.99,1,56
14.42,2,38
56.35,8,26
145.67,6,42
35.9,4,28
30,6,44
122.59,3,28
30.64,1,42
30.21,4,32
39.99,3,22
56.9,7,70
33.2,8,52
60.27,6,50
28.64,8,52
59.54,7,50
54.66,8,44
30.26,9,56
21.38,9,64
76.42,6,26
145.29,5,54
47.91,6,34
32.29,2,48
32.38,9,32
58.2,1,34
310.51,7,44
57.16,9,42
37.47,5,50
31.29,9,42
36.44,5,40
58.56,4,56
62.59,7,48
201.02,8,26
31.01,6,26
53.25,6,52
173.2,6,40
37.88,6,36
55.82,9,46
56.4,4,50
28.68,4,26
18.74,6,36
39.05,5,32
63.24,6,46
33.76,3,44
195.57,2,42
62.6,9,26
30.25,4,54
30.03,7,54
10,6,50
29.99,9,54
30.55,4,56
112.78,6,36
66,3,34
83.5,7,38
30.59,9,40
119.29,3,42
62.99,8,54
34.04,5,60
55.92,6,44
40.18,2,38
86.8,4,36
10.5,7,50
23.1,8,54
16.99,6,58
90.18,2,36
99.82,5,44
66.03,9,44
102.43,9,62
44.05,5,48
53.71,1,48
30.54,9,52
145.25,6,36
30.04,5,44
50.49,6,50
82.72,7,54
113.49,9,32
5,6,42
141.21,3,44
29.99,8,58
33.24,6,50
42.74,1,50
33.99,7,44
51.35,8,38
117.72,9,36
193.11,6,26
31.45,1,24
32.02,4,32
97.11,9,54
44.64,4,44
21.98,6,38
49.99,9,40
36.57,2,34
33.05,9,54
32.98,5,48
52.85,9,50
95.11,9,40
25.2,9,42
40.8,9,54
30.48,3,42
33.91,9,48
30.48,9,42
60.05,4,38
20.45,7,42
70.62,5,48
142.11,2,48
75.61,6,30
83.7,4,36
27.45,9,46
86.16,4,30
89.92,5,32
31.24,7,52
133.65,4,42
22.05,9,58
119.23,9,42
50.98,4,36
33.77,6,76
44.28,0,36
164.56,6,38
50.73,4,28
30.43,5,44
72.5,9,54
78.35,5,32
26.16,2,40
142.63,8,60
48.89,8,52
39.52,9,30
25.23,4,48
30.96,6,48
30.39,0,30
58.19,5,48
68.92,6,50
35.19,8,34
50.55,1,24
42.74,6,46
56.41,4,32
41.43,1,70
34.9,6,46
58.67,8,38
30.37,4,46
31.29,6,44
57.54,7,64
50,9,60
57.13,9,26
88.72,7,32
19.14,6,30
43.77,5,46
50.67,6,38
58.53,2,56
17.14,6,38
95.92,5,44
30.77,6,44
130.14,8,42
17.14,5,50
43.07,9,44
31.27,7,50
50.52,6,40
31.86,7,46
76.37,6,34
50.69,9,32
19.71,8,26
60.32,9,56
34.3,5,48
29.27,7,50
94.58,9,46
60.24,9,44
48.03,9,58
17.36,9,60
99.19,2,26
17.11,9,44
41.35,3,38
75.07,5,36
10.7,5,60
32.84,5,36
16.99,7,66
21.95,6,38
20.88,3,44
30.32,4,42
30.26,5,48
47.97,6,64
35.99,6,56
30.07,6,24
74.4,3,32
31.27,9,28
32.94,9,42
18.57,1,40
36.17,3,22
30.82,9,36
10.2,6,24
37.9,6,52
22.83,6,30
71.42,5,42
18.11,9,46
75.98,6,50
10.34,9,58
52.59,5,32
20.75,6,36
77.54,5,36
25.36,8,46
36.33,6,62
127.54,7,26
50.27,1,38
35.73,5,58
21.83,9,42
16.61,9,30
12.74,9,50
84.99,9,54
121.15,8,40
17.14,7,60
96.6,4,28
91.47,9,44
21.61,7,48
16.99,5,50
25.48,9,46
40.04,9,40
30.87,9,44
34.01,9,50
32.15,9,58
17.18,6,48
57.2,7,42
28.04,9,32
50.15,2,48
45.67,8,50
84.1,7,52
17.36,7,62
30,6,56
31.18,6,38
30.52,6,36
23.11,3,40
31.25,4,46
54.55,6,54
78.79,6,50
39.02,4,46
18.52,6,48
54.4,6,46
63.34,7,58
52.95,4,40
47.23,6,36
17.14,7,76
36.25,6,64
32.96,5,54
22.28,3,32
45.93,8,54
22.35,6,56
75.93,1,28
63.48,9,36
18.41,9,52
33.22,3,50
45.14,9,52
35.29,5,48
17.61,4,46
79.89,6,24
82.42,9,58
62.28,9,60
16.99,9,48
20.03,7,58
27.59,9,44
96.2,5,42
30.34,5,26
50.69,9,34
18.47,8,60
24.02,7,38
30.27,9,44
30.88,9,72
62.79,5,44
50.28,6,28
86.67,2,52
17.84,8,60
29.01,5,36
17.14,5,80
54.57,0,58
16.99,7,38
43.8,6,76
79.78,9,52
30,7,46
16.99,8,40
50.29,9,38
25.5,6,52
35.76,6,50
89.83,7,36
118.33,3,40
26.98,7,28
25.99,5,64
261.27,4,38
16.99,6,70
16.99,7,74
17.22,5,52
30.51,7,54
17.87,7,38
17.14,5,34
17.36,5,50
87.9,5,56
52.05,7,46
40.51,9,52
17.14,9,46
17.14,9,56
17.27,7,94
86.97,6,40
17.7,9,52
10,6,42
34.99,3,40
16.99,9,38
87.14,2,36
17.77,6,60
25.11,8,30
73.35,3,32
24.78,7,28
23.5,6,42
19.24,7,48
25.07,6,28
16.99,2,76
18.74,5,32
16.99,7,70
20.88,6,56
18.51,6,58
16.99,1,68
20.45,7,54
30,6,36
38.49,7,42
30.92,3,38
65.52,7,40
30.24,9,62
39.76,9,34
133.51,3,24
117.67,9,38
17.14,8,40
52.74,7,48
20.17,7,38
10,7,44
32.48,9,46
21.95,7,32
34.43,8,36
101.5,5,24
5,7,34
46.58,1,44
33.24,5,42
75.97,4,58
17.14,6,50
5,6,36
53.07,6,56
16.99,5,30
59,7,70
43.99,7,30
38.67,6,62
40.72,7,34
32.78,9,42
46.49,3,40
36.87,7,36
68.91,6,38
117.49,6,42
115.85,9,30
17.18,9,52
5,5,32
37.24,6,22
59.56,6,40
81.24,6,36
17.14,6,44
30.27,4,56
30.46,5,40
58.62,1,40
76.83,9,42
33.82,7,26
30,5,36
127.27,5,48
24.99,4,58
31.56,7,26
32.82,6,48
111.33,6,62
104.03,7,42
89.09,6,30
25.02,9,58
32.01,6,40
30.43,6,42
17.24,9,28
50.69,8,30
30,7,52
29.99,7,38
10,9,46
50.7,9,64
35.4,5,64
33.67,4,42
74.52,7,34
60.36,5,36
23.45,0,32
75.24,7,54
20.41,7,54
63.96,6,48
37.91,4,36
80.57,1,38
50.64,8,42
61.97,3,36
39.99,1,30
30.26,5,44
84.24,5,34
47.98,4,58
85.73,3,26
232.24,9,52
217.32,9,44
62.91,9,44
53.56,8,46
33.25,4,50
36.29,9,38
40.09,4,36
41.88,5,54
37.08,6,50
76.83,7,46
41.7,3,88
49.99,3,38
42.52,5,46
22.54,6,50
34.66,6,52
86.86,9,74
33.51,5,70
92.44,4,32
63.48,8,38
60.8,1,66
90.44,3,40
17.14,6,36
80.01,4,52
30.02,7,48
92.99,5,50
97.95,4,44
54.43,5,44
45.38,7,30
40.54,6,46
141.36,6,30
73.36,3,36
30.26,4,44
11.38,9,38
34.99,7,64
59.58,8,42
45.82,8,56
60.89,4,50
70.66,7,52
29.99,9,36
22.95,6,52
25.29,4,80
42.19,6,32
40.72,3,50
61.12,6,32
96.19,9,44
169.91,8,32
52.71,6,30
162.44,9,44
62.8,6,28
30.95,5,52
48.12,9,50
85.78,5,52
50.57,5,36
16.29,9,78
111.61,5,50
33.83,6,64
10.11,7,34
65.25,5,46
24.59,7,44
5,6,50
47.59,2,42
38.42,9,46
18.46,9,46
31.01,6,42
38.98,6,42
33.7,4,52
16.99,7,52
44.62,1,54
46.1,5,40
69.89,6,48
35.27,1,34
35.01,5,48
31.96,7,48
53.85,6,46
5.29,6,46
29.99,8,30
50.44,7,28
43.62,2,24
28.49,9,66
29.99,6,56
78.37,4,54
38.76,6,38
30.26,5,38
57.13,3,40
6.04,4,42
38.6,6,40
29.99,6,38
36.28,9,68
30.15,3,66
152.32,6,28
50.58,6,66
56.53,8,56
108.51,5,26
36.13,6,54
31.55,6,34
72.79,4,44
27.68,3,46
19.39,1,46
35.21,3,38
49.99,7,54
21.27,6,42
34.48,5,38
30.27,6,26
10,6,46
94.99,6,34
74.38,6,36
69.73,9,44
36.6,6,28
31.15,8,64
32.37,5,58
51.22,4,56
30.26,1,44
56.2,9,50
80.1,1,44
50.49,5,34
25.46,7,42
119.03,9,52
116.94,4,46
54.41,0,30
28.05,3,42
55.37,5,34
43.15,6,54
33.16,6,42
28.5,6,50
62.69,3,30
17.36,6,50
113.67,5,36
49.37,7,34
10.62,7,60
18.44,8,30
18.28,4,30
95.24,9,40
58.07,4,44
79.78,4,40
50.45,6,36
55.18,6,66
69.97,7,44
95.35,6,46
63.24,3,42
89.78,9,32
115.31,4,26
54.37,7,40
66.2,9,72
17.4,1,66
85.02,5,24
24.99,7,58
88.44,1,40
51.77,6,46
32.86,7,28
48.22,4,58
30.27,5,48
31.27,4,62
40.07,4,64
72.29,4,48
37.49,7,46
59.11,6,24
17.44,7,60
17.05,4,50
54.95,9,50
83.74,4,46
24.45,7,34
17.14,5,66
45.84,4,46
38.7,5,52
200.79,2,54
88.98,6,60
17.23,2,42
13.39,1,58
89.53,9,58
56.99,6,30
45.72,5,40
31.02,0,24
57.72,6,24
131.68,9,48
59.99,9,56
179.84,1,80
14.13,6,50
60.53,7,26
